2023-03-18 14:05:45.040 | DEBUG    | __main__:main:36 - Namespace(ip='', port=8999, address=('', 8999), server=True)
2023-03-18 14:05:45.041 | DEBUG    | __main__:main:39 - try to run server
2023-03-18 14:05:45.041 | DEBUG    | messenger.server:run:30 - 🚀 start server on :8999 with max connections: 5
2023-03-18 14:05:47.640 | DEBUG    | __main__:main:36 - Namespace(ip='', port=8999, address=('', 8999), message='Hello!', to=None, user=None, password=None)
2023-03-18 14:05:47.640 | DEBUG    | __main__:main:43 - try to run client
2023-03-18 14:05:47.640 | DEBUG    | messenger.client:connect_to_server:32 - 🔌 try to connected to server
2023-03-18 14:05:47.641 | DEBUG    | messenger.client:connect_to_server:39 - 🔌 connected to server (:8999)
2023-03-18 14:05:47.641 | DEBUG    | messenger.client:connect_to_server:42 - 🔌📩 try to send & receive presence report
2023-03-18 14:05:47.641 | DEBUG    | messenger.server:run:35 - 🔌 Client connected from <socket.socket fd=8, family=2, type=1, proto=0, laddr=('127.0.0.1', 8999), raddr=('127.0.0.1', 51562)>, ('127.0.0.1', 51562)
2023-03-18 14:05:47.641 | DEBUG    | messenger.utils:send_data:11 - 📩  try to send
2023-03-18 14:05:47.641 | DEBUG    | messenger.utils:recv_data:18 - 📩 try to receive
2023-03-18 14:05:47.641 | DEBUG    | messenger.utils:serialize_data:26 - 💾🔀 try to serialize
2023-03-18 14:05:47.642 | DEBUG    | messenger.utils:serialize_data:29 - 💾🔀 serialize from <class 'messenger.protocol.request.AuthPresence'> to <class 'bytes'>
2023-03-18 14:05:47.642 | DEBUG    | messenger.utils:send_data:14 - 📩  send: b'{"time": 1679137547.621865, "action": "presence", "type": "status", "user": null}'
2023-03-18 14:05:47.642 | DEBUG    | messenger.utils:recv_data:18 - 📩 try to receive
2023-03-18 14:05:47.642 | DEBUG    | messenger.utils:deserialize_data:35 - 💾🔀 try to deserialize
2023-03-18 14:05:47.642 | DEBUG    | messenger.utils:definite_data:59 - 📦🔍 Try to definite data type
2023-03-18 14:05:47.643 | DEBUG    | messenger.utils:definite_data:67 - 📦🔍 Definite data type: <class 'messenger.protocol.request.Request'> time=1679137547.621865 action='presence'
2023-03-18 14:05:47.643 | DEBUG    | messenger.utils:deserialize_data:53 - 💾🔀 deserialize from <class 'bytes'> to <class 'messenger.protocol.request.AuthPresence'>
2023-03-18 14:05:47.643 | DEBUG    | messenger.utils:recv_data:21 - 📩 receive: time=1679137547.621865 action='presence' type='status' user=None
2023-03-18 14:05:47.643 | DEBUG    | messenger.utils:send_data:11 - 📩  try to send
2023-03-18 14:05:47.643 | DEBUG    | messenger.utils:serialize_data:26 - 💾🔀 try to serialize
2023-03-18 14:05:47.643 | DEBUG    | messenger.utils:serialize_data:29 - 💾🔀 serialize from <class 'messenger.protocol.response.Responce200'> to <class 'bytes'>
2023-03-18 14:05:47.643 | DEBUG    | messenger.utils:send_data:14 - 📩  send: b'{"response": 200, "time": 1679137545.023684, "alert": "success message"}'
2023-03-18 14:05:47.643 | DEBUG    | messenger.utils:deserialize_data:35 - 💾🔀 try to deserialize
2023-03-18 14:05:47.643 | DEBUG    | messenger.utils:definite_data:59 - 📦🔍 Try to definite data type
2023-03-18 14:05:47.644 | DEBUG    | messenger.utils:definite_data:67 - 📦🔍 Definite data type: <class 'messenger.protocol.response.Responce'> response=200 time=1679137545.023684
2023-03-18 14:05:47.644 | DEBUG    | messenger.utils:deserialize_data:53 - 💾🔀 deserialize from <class 'bytes'> to <class 'messenger.protocol.response.Responce200'>
2023-03-18 14:05:47.644 | DEBUG    | messenger.utils:recv_data:21 - 📩 receive: response=200 time=1679137545.023684 alert='success message'
2023-03-18 14:05:47.644 | DEBUG    | messenger.client:connect_to_server:46 - 🔌📩 send & receive presence report: response=200 time=1679137545.023684 alert='success message'
2023-03-18 14:05:47.644 | DEBUG    | messenger.client:run:26 - 🆕 created socket: ('127.0.0.1', 51562) and connected to the server
2023-03-18 14:05:48.244 | DEBUG    | __main__:main:36 - Namespace(ip='', port=8999, address=('', 8999), message='Hello!', to=None, user=None, password=None)
2023-03-18 14:05:48.244 | DEBUG    | __main__:main:43 - try to run client
2023-03-18 14:05:48.244 | DEBUG    | messenger.client:connect_to_server:32 - 🔌 try to connected to server
2023-03-18 14:05:48.245 | DEBUG    | messenger.client:connect_to_server:39 - 🔌 connected to server (:8999)
2023-03-18 14:05:48.245 | DEBUG    | messenger.server:run:35 - 🔌 Client connected from <socket.socket fd=8, family=2, type=1, proto=0, laddr=('127.0.0.1', 8999), raddr=('127.0.0.1', 51564)>, ('127.0.0.1', 51564)
2023-03-18 14:05:48.245 | DEBUG    | messenger.client:connect_to_server:42 - 🔌📩 try to send & receive presence report
2023-03-18 14:05:48.245 | DEBUG    | messenger.utils:recv_data:18 - 📩 try to receive
2023-03-18 14:05:48.245 | DEBUG    | messenger.utils:send_data:11 - 📩  try to send
2023-03-18 14:05:48.245 | DEBUG    | messenger.utils:serialize_data:26 - 💾🔀 try to serialize
2023-03-18 14:05:48.245 | DEBUG    | messenger.utils:serialize_data:29 - 💾🔀 serialize from <class 'messenger.protocol.request.AuthPresence'> to <class 'bytes'>
2023-03-18 14:05:48.245 | DEBUG    | messenger.utils:send_data:14 - 📩  send: b'{"time": 1679137548.226022, "action": "presence", "type": "status", "user": null}'
2023-03-18 14:05:48.246 | DEBUG    | messenger.utils:recv_data:18 - 📩 try to receive
2023-03-18 14:05:48.246 | DEBUG    | messenger.utils:deserialize_data:35 - 💾🔀 try to deserialize
2023-03-18 14:05:48.246 | DEBUG    | messenger.utils:definite_data:59 - 📦🔍 Try to definite data type
2023-03-18 14:05:48.246 | DEBUG    | messenger.utils:definite_data:67 - 📦🔍 Definite data type: <class 'messenger.protocol.request.Request'> time=1679137548.226022 action='presence'
2023-03-18 14:05:48.246 | DEBUG    | messenger.utils:deserialize_data:53 - 💾🔀 deserialize from <class 'bytes'> to <class 'messenger.protocol.request.AuthPresence'>
2023-03-18 14:05:48.246 | DEBUG    | messenger.utils:recv_data:21 - 📩 receive: time=1679137548.226022 action='presence' type='status' user=None
2023-03-18 14:05:48.246 | DEBUG    | messenger.utils:send_data:11 - 📩  try to send
2023-03-18 14:05:48.246 | DEBUG    | messenger.utils:serialize_data:26 - 💾🔀 try to serialize
2023-03-18 14:05:48.246 | DEBUG    | messenger.utils:serialize_data:29 - 💾🔀 serialize from <class 'messenger.protocol.response.Responce200'> to <class 'bytes'>
2023-03-18 14:05:48.247 | DEBUG    | messenger.utils:send_data:14 - 📩  send: b'{"response": 200, "time": 1679137545.023684, "alert": "success message"}'
2023-03-18 14:05:48.247 | DEBUG    | messenger.utils:deserialize_data:35 - 💾🔀 try to deserialize
2023-03-18 14:05:48.247 | DEBUG    | messenger.utils:definite_data:59 - 📦🔍 Try to definite data type
2023-03-18 14:05:48.247 | DEBUG    | messenger.utils:definite_data:67 - 📦🔍 Definite data type: <class 'messenger.protocol.response.Responce'> response=200 time=1679137545.023684
2023-03-18 14:05:48.247 | DEBUG    | messenger.utils:deserialize_data:53 - 💾🔀 deserialize from <class 'bytes'> to <class 'messenger.protocol.response.Responce200'>
2023-03-18 14:05:48.247 | DEBUG    | messenger.utils:recv_data:21 - 📩 receive: response=200 time=1679137545.023684 alert='success message'
2023-03-18 14:05:48.248 | DEBUG    | messenger.client:connect_to_server:46 - 🔌📩 send & receive presence report: response=200 time=1679137545.023684 alert='success message'
2023-03-18 14:05:48.248 | DEBUG    | messenger.client:run:26 - 🆕 created socket: ('127.0.0.1', 51564) and connected to the server
2023-03-18 14:05:48.819 | DEBUG    | __main__:main:36 - Namespace(ip='', port=8999, address=('', 8999), message='Hello!', to=None, user=None, password=None)
2023-03-18 14:05:48.819 | DEBUG    | __main__:main:43 - try to run client
2023-03-18 14:05:48.819 | DEBUG    | messenger.client:connect_to_server:32 - 🔌 try to connected to server
2023-03-18 14:05:48.820 | DEBUG    | messenger.client:connect_to_server:39 - 🔌 connected to server (:8999)
2023-03-18 14:05:48.820 | DEBUG    | messenger.server:run:35 - 🔌 Client connected from <socket.socket fd=8, family=2, type=1, proto=0, laddr=('127.0.0.1', 8999), raddr=('127.0.0.1', 51565)>, ('127.0.0.1', 51565)
2023-03-18 14:05:48.820 | DEBUG    | messenger.client:connect_to_server:42 - 🔌📩 try to send & receive presence report
2023-03-18 14:05:48.820 | DEBUG    | messenger.utils:recv_data:18 - 📩 try to receive
2023-03-18 14:05:48.820 | DEBUG    | messenger.utils:send_data:11 - 📩  try to send
2023-03-18 14:05:48.820 | DEBUG    | messenger.utils:serialize_data:26 - 💾🔀 try to serialize
2023-03-18 14:05:48.820 | DEBUG    | messenger.utils:serialize_data:29 - 💾🔀 serialize from <class 'messenger.protocol.request.AuthPresence'> to <class 'bytes'>
2023-03-18 14:05:48.820 | DEBUG    | messenger.utils:send_data:14 - 📩  send: b'{"time": 1679137548.800954, "action": "presence", "type": "status", "user": null}'
2023-03-18 14:05:48.820 | DEBUG    | messenger.utils:recv_data:18 - 📩 try to receive
2023-03-18 14:05:48.820 | DEBUG    | messenger.utils:deserialize_data:35 - 💾🔀 try to deserialize
2023-03-18 14:05:48.821 | DEBUG    | messenger.utils:definite_data:59 - 📦🔍 Try to definite data type
2023-03-18 14:05:48.821 | DEBUG    | messenger.utils:definite_data:67 - 📦🔍 Definite data type: <class 'messenger.protocol.request.Request'> time=1679137548.800954 action='presence'
2023-03-18 14:05:48.821 | DEBUG    | messenger.utils:deserialize_data:53 - 💾🔀 deserialize from <class 'bytes'> to <class 'messenger.protocol.request.AuthPresence'>
2023-03-18 14:05:48.821 | DEBUG    | messenger.utils:recv_data:21 - 📩 receive: time=1679137548.800954 action='presence' type='status' user=None
2023-03-18 14:05:48.821 | DEBUG    | messenger.utils:send_data:11 - 📩  try to send
2023-03-18 14:05:48.821 | DEBUG    | messenger.utils:serialize_data:26 - 💾🔀 try to serialize
2023-03-18 14:05:48.821 | DEBUG    | messenger.utils:serialize_data:29 - 💾🔀 serialize from <class 'messenger.protocol.response.Responce200'> to <class 'bytes'>
2023-03-18 14:05:48.821 | DEBUG    | messenger.utils:send_data:14 - 📩  send: b'{"response": 200, "time": 1679137545.023684, "alert": "success message"}'
2023-03-18 14:05:48.821 | DEBUG    | messenger.utils:deserialize_data:35 - 💾🔀 try to deserialize
2023-03-18 14:05:48.822 | DEBUG    | messenger.utils:definite_data:59 - 📦🔍 Try to definite data type
2023-03-18 14:05:48.822 | DEBUG    | messenger.utils:definite_data:67 - 📦🔍 Definite data type: <class 'messenger.protocol.response.Responce'> response=200 time=1679137545.023684
2023-03-18 14:05:48.822 | DEBUG    | messenger.utils:deserialize_data:53 - 💾🔀 deserialize from <class 'bytes'> to <class 'messenger.protocol.response.Responce200'>
2023-03-18 14:05:48.822 | DEBUG    | messenger.utils:recv_data:21 - 📩 receive: response=200 time=1679137545.023684 alert='success message'
2023-03-18 14:05:48.822 | DEBUG    | messenger.client:connect_to_server:46 - 🔌📩 send & receive presence report: response=200 time=1679137545.023684 alert='success message'
2023-03-18 14:05:48.822 | DEBUG    | messenger.client:run:26 - 🆕 created socket: ('127.0.0.1', 51565) and connected to the server
